region,lease_num,address,city,state,state_category,zip,lease_exp,remaining_term_years,lease_rsf,annual_rent,rent_prsf
11,LDC20810,1441 L ST,WASHINGTON,DC,District of Columbia,20005-3512,6/12/2013,1.28,"176,071","$5,250,684",$29.82
11,LDC02012,"145 N STREET, NE",WASHINGTON,DC,District of Columbia,20002-2371,6/22/2025,13.32,"521,000","$26,195,462",$50.28
11,LDC02066,"145 N STREET, NE",WASHINGTON,DC,District of Columbia,20002-2371,8/22/2025,13.48,"54,790","$2,649,211",$48.35
11,LDC02027,1717 H STREET,WASHINGTON,DC,District of Columbia,20006-3900,3/15/2019,7.04,"71,411","$3,203,943",$44.87
11,LDC02030,1717 H STREET,WASHINGTON,DC,District of Columbia,20006-3900,6/15/2018,6.29,"60,000","$2,809,971",$46.83
11,LDC01311,"1722 EYE STREET, N.W.",WASHINGTON,DC,District of Columbia,20006-3705,6/6/2012,0.27,"95,242","$4,282,850",$44.97
11,LDC01430,"1722 EYE STREET, N.W.",WASHINGTON,DC,District of Columbia,20006-3705,11/14/2012,0.71,"85,322","$3,301,165",$38.69
11,LDC02161,1735 NEW YORK AVE N.W,WASHINGTON,DC,District of Columbia,20006-5209,6/13/2020,8.29,"51,334","$2,510,081",$48.90
11,LDC80667,1750 PENNSYLVANIA AVE NW,WASHINGTON,DC,District of Columbia,20006-4502,2/29/2012,0.00,"92,662","$4,169,790",$45.00
11,LDC02294,1750 PENNSYLVANIA AVE NW,WASHINGTON,DC,District of Columbia,20006-4502,1/31/2022,9.93,"52,028","$2,480,165",$47.67
11,LDC01262,1750 PENNSYLVANIA AVE NW,WASHINGTON,DC,District of Columbia,20006-4502,1/31/2012,0.00,"50,089","$2,153,827",$43.00
11,LDC00192,1800 G ST NW,WASHINGTON,DC,District of Columbia,20006-4403,4/30/2012,0.16,"107,710","$4,902,503",$45.52
11,LDC51018,1800 G ST NW,WASHINGTON,DC,District of Columbia,20006-4403,4/30/2014,2.16,"90,000","$3,656,281",$40.63
11,LDC00184,1800 G ST NW,WASHINGTON,DC,District of Columbia,20006-4403,4/30/2012,0.16,"67,399","$3,068,002",$45.52
11,LDC00216,1800 G ST NW,WASHINGTON,DC,District of Columbia,20006-4403,4/30/2012,0.16,"64,940","$3,306,069",$50.91
11,LDC51019,1800 G ST NW,WASHINGTON,DC,District of Columbia,20006-4403,4/30/2014,2.16,"64,568","$2,617,526",$40.54
11,LDC00214,1800 G ST NW,WASHINGTON,DC,District of Columbia,20006-4403,4/30/2012,0.16,"53,593","$2,439,553",$45.52
11,LDC60334,1800 M ST NW,WASHINGTON,DC,District of Columbia,20036-5802,8/10/2012,0.44,"192,050","$9,076,091",$47.26
11,LDC02150,1800 M ST NW,WASHINGTON,DC,District of Columbia,20036-5802,1/13/2015,2.87,"56,140","$2,184,462",$38.91
11,LDC01750,1800 M ST NW,WASHINGTON,DC,District of Columbia,20036-5802,1/31/2015,2.92,"53,460","$2,277,525",$42.60
11,LDC01733,1800 M ST NW,WASHINGTON,DC,District of Columbia,20036-5802,4/17/2015,3.13,"53,460","$1,975,335",$36.95
11,LDC02075,1801 L ST NW,WASHINGTON,DC,District of Columbia,20036-3811,11/13/2019,7.71,"71,943","$2,910,508",$40.46
11,LDC02102,1801 L ST NW,WASHINGTON,DC,District of Columbia,20036-3811,8/11/2019,7.45,"62,040","$2,482,971",$40.02
11,LDC01870,1900 HALF STREET,WASHINGTON,DC,District of Columbia,20593-0004,3/31/2012,0.08,"130,000","$3,240,622",$24.93
11,LDC01741,1900 HALF STREET,WASHINGTON,DC,District of Columbia,20593-0004,2/23/2015,2.98,"129,115","$5,073,948",$39.30
11,LDC01816,1900 HALF STREET,WASHINGTON,DC,District of Columbia,20593-0004,9/14/2016,4.54,"74,183","$2,843,527",$38.33
11,LDC02019,1900 HALF STREET,WASHINGTON,DC,District of Columbia,20593-0004,9/21/2013,1.56,"69,102","$2,366,124",$34.24
11,LDC80588,1990 K STREET N W,WASHINGTON,DC,District of Columbia,20006-1103,8/11/2012,0.45,"115,024","$4,858,368",$42.24
11,LDC90306,"2 MASSACHUSETTS AVE, NE",WASHINGTON,DC,District of Columbia,20002-4945,5/14/2022,10.21,"990,611","$26,262,914",$26.51
11,LDC02126,20 M ST SE,WASHINGTON,DC,District of Columbia,20003-3511,1/12/2021,8.87,"94,435","$3,469,927",$36.74
11,LDC01444,20 MASSACHUSETTS AVE NW,WASHINGTON,DC,District of Columbia,20001-0001,9/23/2012,0.56,"113,525","$4,157,479",$36.62
11,LDC01455,20 MASSACHUSETTS AVE NW,WASHINGTON,DC,District of Columbia,20001-0001,10/22/2012,0.64,"56,992","$1,941,873",$34.07
11,LDC01445,20 MASSACHUSETTS AVE NW,WASHINGTON,DC,District of Columbia,20001-0001,9/23/2012,0.56,"52,906","$2,028,905",$38.35
11,LDC02115,2025 E ST NW,WASHINGTON,DC,District of Columbia,20006-5009,6/30/2020,8.34,"258,212","$11,797,763",$45.69
11,LDC02074,2100 2ND ST SW,WASHINGTON,DC,District of Columbia,20593-0005,5/15/2018,6.21,"592,128","$21,628,862",$36.53
11,LDC01997,2121 VIRGINIA AVE N W,WASHINGTON,DC,District of Columbia,20037-2911,10/31/2017,5.67,"110,294","$5,589,962",$50.68
11,LDC01935,"2200 C STREET, NW",WASHINGTON,DC,District of Columbia,20037-2907,6/23/2019,7.32,"189,008","$9,091,940",$48.10
11,LDC10187,2401 E ST NW,WASHINGTON,DC,District of Columbia,20226-0006,4/14/2012,0.12,"511,500","$11,730,818",$22.93
11,LDC01959,2800 V ST N.E,WASHINGTON,DC,District of Columbia,20018-1517,2/4/2016,3.93,"57,294","$706,164",$12.33
11,LDC70316,300 7TH ST SW,WASHINGTON,DC,District of Columbia,20024-2511,11/30/2017,5.75,"124,850","$4,390,355",$35.17
11,LDC00111,300 E ST SW,WASHINGTON,DC,District of Columbia,20024-3202,7/19/2012,0.38,"551,907","$23,267,119",$42.16
11,LDC01802,3030 - 3070 V STREET,WASHINGTON,DC,District of Columbia,20018-1521,2/12/2016,3.95,"56,564","$493,618",$8.73
11,LDC02193,"375 E STREET, SW",WASHINGTON,DC,District of Columbia,20024-3221,5/31/2016,4.25,"58,143","$2,820,222",$48.50
11,LDC01930,"395 E STREET, S.W.",WASHINGTON,DC,District of Columbia,20546-0001,2/22/2017,4.98,"74,289","$3,221,679",$43.37
11,LDC01915,"395 E STREET, S.W.",WASHINGTON,DC,District of Columbia,20546-0001,8/31/2016,4.50,"71,914","$3,476,486",$48.34
11,LDC01552,400 C STREET SW,WASHINGTON,DC,District of Columbia,20547-0001,1/2/2013,0.84,"392,302","$14,411,783",$36.74
11,LDC90303,409 3RD ST. S.W.,WASHINGTON,DC,District of Columbia,20024-3212,3/31/2012,0.08,"258,469","$9,490,610",$36.72
11,LDC02178,425 EYE STREET NW,WASHINGTON,DC,District of Columbia,20001-2542,6/6/2021,9.27,"285,434","$12,273,662",$43.00
11,LDC40155,445 12TH ST SW,WASHINGTON,DC,District of Columbia,20554-0005,10/16/2017,5.63,"602,350","$35,200,840",$58.44
11,LDC01932,"450 5TH STREET, NW",WASHINGTON,DC,District of Columbia,20001-2739,1/11/2023,10.87,"477,473","$21,041,765",$44.07
11,LDC02211,470/490 LENFANT PLZ SW,WASHINGTON,DC,District of Columbia,20024-2104,11/30/2020,8.76,"163,538","$7,105,726",$43.45
11,LDC01934,"500 12TH ST, SW",WASHINGTON,DC,District of Columbia,20024-6121,1/16/2018,5.88,"403,847","$16,488,865",$40.83
11,LDC01966,"500 12TH ST, SW",WASHINGTON,DC,District of Columbia,20024-6121,1/16/2018,5.88,"99,150","$3,956,886",$39.91
11,LDC02025,500 1ST ST NW,WASHINGTON,DC,District of Columbia,20001-2025,7/31/2016,4.42,"129,035","$6,976,641",$54.07
11,LDC02139,"500 C STREET,SW",WASHINGTON,DC,District of Columbia,20024-2523,8/16/2019,7.46,"302,946","$11,778,483",$38.88
11,LDC70314,500 E STREET SW,WASHINGTON,DC,District of Columbia,20024-2760,8/10/2017,5.45,"195,827","$8,611,947",$43.98
11,LDC70304,500 E STREET SW,WASHINGTON,DC,District of Columbia,20024-2760,8/10/2012,0.44,"52,087","$2,051,103",$39.38
11,LDC80630,500 N CAPITOL ST NW,WASHINGTON,DC,District of Columbia,20001-1531,3/25/2011,0.00,"156,034","$6,865,496",$44.00
11,LDC01785,501 3RD ST NW,WASHINGTON,DC,District of Columbia,20001-2760,6/1/2014,2.25,"69,908","$2,695,060",$38.55
11,LDC01957,"515 22ND STREET., NW",WASHINGTON,DC,District of Columbia,20037-2736,9/30/2019,7.59,"95,995","$4,659,059",$48.53
11,LDC01260,550 12TH STREET SW,WASHINGTON,DC,District of Columbia,20472-0001,3/31/2014,2.08,"314,243","$11,201,906",$35.65
11,LDC01653,550 12TH STREET SW,WASHINGTON,DC,District of Columbia,20472-0001,4/25/2014,2.15,"113,220","$5,001,899",$44.18
